frag_smiles,frag_rogue_smiles,attribution
[1*]C(C)=O,C(C)=O,-0.0798065662384033
[5*]N[5*],N,-0.254397916793823
[14*]c1nnc(S(N)(=O)=O)s1,c1nnc(S(N)(=O)=O)s1,-2.6669851392507558
Clc1ccccc1I,Clc1ccccc1I,-4.047366186976433
[1*]C(=O)C=C,C(=O)C=C,-0.8697212293744088
[3*]OC,OC,0.0724861785769463
[3*]OC,OC,0.2739685058593748
[1*]C(=O)C[4*],C(=O)C,-0.135958778858185
[5*]N([5*])[5*],N(),-0.216631257534027
[16*]c1c(C)cccc1C,c1c(C)cccc1C,-1.7932396024465562
[1*]C(=O)C([4*])C,C(=O)C()C,-0.5722447991371156
[3*]OC,OC,0.0004562616348264
CC(C)C(C)O,CC(C)C(C)O,-0.5718004375696181
[4*]CC,CC,-0.167670917510986
[5*]N[5*],N,-0.1146858215332033
[14*]c1nc([14*])nc(Cl)n1,c1nc()nc(Cl)n1,-3.0013787776231764
[5*]N[5*],N,-0.0734582901000981
[4*]C(C)(C)C#N,C(C)(C)C#N,0.0145249605178823
Oc1c(Cl)c(Cl)cc(Cl)c1Cl,Oc1c(Cl)c(Cl)cc(Cl)c1Cl,-3.921940085291862
[8*]CC,CC,-0.4521992444992067
[15*]C1(C)C(=O)NC(=O)NC1=O,C1(C)C(=O)NC(=O)NC1=O,-1.2482442498207094
CC12CC(=O)C3C(CCC4=CC(=O)CCC43C)C1CCC2=O,CC12CC(=O)C3C(CCC4=CC(=O)CCC43C)C1CCC2=O,-4.101370450854301
[5*]NC,NC,0.1584604501724245
[1*]C([1*])=O,C()=O,-0.0162120938301089
[3*]O[3*],O,-0.084798240661621
[16*]c1ccc([16*])c(C)c1,c1ccc()c(C)c1,-2.869304475188255
[5*]N(C)C,N(C)C,0.1465635538101199
CC(C)CCC(C)(C)C,CC(C)CCC(C)(C)C,-5.364166495203972
[7*]=CCO,=CCO,1.1752712368965148
[7*]=C(C)C,=C(C)C,-1.263515609502793
[7*]=CCCC(=[7*])C,=CCCC(=)C,-2.253520621359349
[4*]CC,CC,-0.4293359994888299
[11*]S[11*],S,-0.2189468026161192
[4*]C[8*],C,-0.0276583909988406
[16*]c1ccccc1[16*],c1ccccc1,-1.926216128468513
[3*]O[3*],O,-0.0564213514328
[1*]C([1*])=O,C()=O,-0.0112509727478027
[5*]NC,NC,0.2997916221618655
C1=CCCCCC1,C1=CCCCCC1,-3.5823438137769696
[5*]N(C)C,N(C)C,1.22597359418869
[16*]c1ccccc1,c1ccccc1,-0.5443313777446748
[9*]n1c(=O)c([16*])c(C)n1C,n1c(=O)c()c(C)n1C,0.2241433441638946
c1cc2ccc3cccc4ccc(c1)c2c34,c1cc2ccc3cccc4ccc(c1)c2c34,-7.309104344248771
CCCCCCCC(C)=O,CCCCCCCC(C)=O,-2.8261638611555098
[8*]CC=C,CC=C,-0.1605480670928956
[15*]C1([15*])C(=O)NC(=O)NC1=O,C1()C(=O)NC(=O)NC1=O,0.5345090866088866
[16*]c1ccccc1,c1ccccc1,-0.8189040422439577
[16*]c1ccc(O)cc1,c1ccc(O)cc1,-1.8362934112548823
[8*]C(CC)C([8*])CC,C(CC)C()CC,-0.9495365858077998
[16*]c1ccc(O)cc1,c1ccc(O)cc1,-0.949536561965942
[1*]C(C)=O,C(C)=O,-0.028165578842163
[3*]O[3*],O,-0.0158847808837885
[4*]CC([6*])=O,CC()=O,0.1381441593170165
[15*]C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-3.850530163943768
[3*]OC,OC,0.0514669179916387
[16*]c1ccc([16*])c(Cl)c1,c1ccc()c(Cl)c1,-3.116438394784927
[5*]N[5*],N,-0.1600401401519771
[1*]C([1*])=O,C()=O,-0.1340904474258422
[5*]N(C)C,N(C)C,0.1313115596771239
Fc1ccc(F)cc1,Fc1ccc(F)cc1,-2.599151071906089
[16*]c1ccc(Cl)cc1,c1ccc(Cl)cc1,-3.183801150321961
[16*]c1ccccc1Cl,c1ccccc1Cl,-2.9523003339767464
Cc1ccc([N+](=O)[O-])cc1,Cc1ccc([N+](=O)[O-])cc1,-3.035260173678398
Cc1cccc(C)n1,Cc1cccc(C)n1,-0.2221524164080619
c1ccnnc1,c1ccnnc1,0.6174903899431229
ClCBr,ClCBr,-1.319774368405342
O=c1[nH]cnc2nc[nH]c12,O=c1[nH]cnc2nc[nH]c12,-2.46042283475399
[4*]CC,CC,-0.2141511201858517
[5*]N1c2ncccc2C(=O)Nc2c(C)cc(C)nc21,N1c2ncccc2C(=O)Nc2c(C)cc(C)nc21,-3.9695707112550735
