smiles,ESOL_top20_6_brics_mol,group
Cc1cc(=O)c2c(-c3c4occc4c(N4c5ccccc5N(C)C(=O)c5cccnc54)c4c(=O)cc(C)oc34)c3ccoc3c(-c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c2o1,-1,test
Nc1c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc([N+](=O)[O-])c(-c2cc(Cl)c(F)c(Cl)c2F)c1[N+](=O)[O-],-1,test
CC1C=C2C=CC(C)C(c3cc(Cl)c(F)c(Cl)c3F)C2C(N2c3ncccc3C(=O)N(C)c3cccnc32)C1,-1,test
O=[N+]([O-])c1cc(-c2ccc3ccccc3c2)cc([N+](=O)[O-])c1-c1ccc(Cl)c(Cl)c1Cl,-1,test
Clc1ccc(-c2ccc(Cl)c(Cl)c2)c(Cl)c1,-1,test
NS(=O)(=O)c1nc2ccc(-c3ccc(Cl)c(Cl)c3)cc2s1,-1,test
CC1CC2C3CCC(O)(c4nc(Cl)nc(-c5cccc(Cl)c5)n4)C3(C)CC(O)C2(F)C2(C)C=CC(=O)C=C12,-1,test
Nc1c(-c2cc([N+](=O)[O-])c(-c3cccc4ccccc34)c([N+](=O)[O-])c2N)cc([N+](=O)[O-])c(-c2ccc(Br)c(Cl)c2)c1[N+](=O)[O-],-1,test
Cc1cc(=O)c2c(C3CCC(C4=C(O)C(=O)c5ccccc5C4=O)CC3)c3ccoc3c(C3CCC(C4=C(O)C(=O)c5ccccc5C4=O)CC3)c2o1,-1,test
O=[N+]([O-])c1cc(-c2cc([N+](=O)[O-])c(-c3ccc4ccccc4c3)c([N+](=O)[O-])c2)cc([N+](=O)[O-])c1-c1ccc2ccccc2c1,-1,test
O=C1Nc2ccc(Cl)cc2N(c2c([N+](=O)[O-])cc(-c3ccc(Cl)c(Cl)c3Cl)cc2[N+](=O)[O-])c2ncccc21,-1,test
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)c1c(Cl)c(Cl)cc(Cl)c1Cl,-1,test
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(c3c(Cl)cccc3Cl)CCC12,-1,test
CC12C=CC(=O)C=C1CCC1C3CC(c4nc(Cl)nc(-c5nc(Cl)nc(-c6ccc(Cl)cc6Cl)n5)n4)C(O)(c4ccc(Cl)cc4Cl)C3(C)CC(O)C12F,-1,test
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)c1c([N+](=O)[O-])cc(-c2cccc(Cl)c2)cc1[N+](=O)[O-],-1,test
Cc1cc(OP(=S)(ON=C(C#N)c2ccccc2)Oc2cc(C)nc3c2NC(=O)c2cccnc2N3c2c(Cl)c(Cl)cc(Cl)c2Cl)c2c(n1)N(c1c(Cl)c(Cl)cc(Cl)c1Cl)c1ncccc1C(=O)N2,-1,test
CN1C(=O)c2cccnc2N(c2c(Cl)cccc2Cl)c2ccccc21,-1,test
O=[N+]([O-])c1ccc(-c2cc([N+](=O)[O-])c(-c3ccc(Cl)cc3)c([N+](=O)[O-])c2)c(Cl)c1,-1,test
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)c1cc([N+](=O)[O-])c(C2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(O)c2c([N+](=O)[O-])cc(C3(O)C(O)CC4C5CCC6=CC(=O)C=CC6(C)C5(F)C(O)CC43C)cc2[N+](=O)[O-])c([N+](=O)[O-])c1,-1,test
NS(=O)(=O)c1nc2ccc(-c3cc([N+](=O)[O-])c(-c4cc([N+](=O)[O-])c(-c5ccc6nc(S(N)(=O)=O)sc6c5)c([N+](=O)[O-])c4)c([N+](=O)[O-])c3)cc2s1,-1,test
Cc1cc(-c2cc(Cl)c(Cl)cc2Cl)cc2c1NC(=O)c1cccnc1N2C12OC(C)(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,-1,test
O=[N+]([O-])c1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,-1,test
Cc1cc(=O)c2c(-c3ccc4nc(S(N)(=O)=O)sc4c3)c3ccoc3c(-c3ccc4nc(S(N)(=O)=O)sc4c3)c2o1,-1,test
CN1C(=O)c2cccnc2N(c2ccc(-c3ccc(-c4c(Cl)c(Cl)cc(Cl)c4Cl)cc3Cl)cc2Cl)c2nc(Cl)ccc21,-1,test
Clc1ccc(Cl)c(-c2ccc3ccccc3c2)c1,-1,test
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)c1ccc2c(n1)N(C1(O)CCC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC31C)c1ncccc1C(=O)N2,-1,test
Fc1c(Cl)cc(-c2ccc(Cl)c(Cl)c2)c(F)c1Cl,-1,test
Clc1cc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl,-1,test
Cc1cc(-c2cc(C)c3c(c2)N(c2cc(Cl)c(Cl)cc2Cl)c2ncccc2C(=O)N3)cc2c1NC(=O)c1cccnc1N2c1cc(C)c2c(c1)N(c1cc(Cl)c(Cl)cc1Cl)c1ncccc1C(=O)N2,-1,test
Cc1cc(-c2cc(C)c3c(c2)N(C2CC4=CC(=O)CCC4(C)C4CCC5(C)C(CCC56CCC(=O)O6)C24)c2ncccc2C(=O)N3)cc2c1NC(=O)c1cccnc1N2c1c(Cl)c(Cl)cc(Cl)c1Cl,-1,test
Cc1cc(OP(=S)(ON=C(C#N)c2ccccc2)Oc2c(Cl)c(Cl)cc(Cl)c2Cl)c2c(n1)N(c1cc(C)nc3c1NC(=O)c1cccnc1N3c1c(Cl)c(Cl)cc(Cl)c1Cl)c1ncccc1C(=O)N2,-1,test
CCCCCCCC(=O)N1c2cc(-c3cc(C)c4c(c3)N(C3(O)CCC5C6CCC7=CC(=O)C=CC7(C)C6C(O)CC53C)c3ncccc3C(=O)N4)cc(C)c2NC(=O)c2cccnc21,-1,test
CC1=CC2C(CCC3(C)C2CCC3(c2c(Cl)cc(Cl)cc2Cl)c2c3occc3c(-c3c4ccoc4c(-c4c(Cl)cc(Cl)cc4Cl)c4oc(C)cc(=O)c34)c3c(=O)cc(C)oc23)C2(C)CCC(=O)C=C12,-1,test
Cc1cc(=O)c2c(-c3cccc(Cl)c3Cl)c3ccoc3c(C3(O)CCC4C5CCC6=CC(=O)CCC6(C)C5C(=O)CC43C)c2o1,-1,test
Cc1cc(-c2nc(Cl)nc(-c3nc(Cl)nc(-c4ccc5ccccc5c4)n3)n2)c2c(n1)N(C1CCCCC1)c1ncccc1C(=O)N2,-1,test
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(c3cc(Cl)nc(N(C=O)NS(=O)(=O)c4ccccc4-c4ccccc4S(=O)(=O)NN(C=O)c4nc(Cl)cc(-c5c(Cl)cccc5Cl)n4)n3)CCC12,-1,test
COc1ccc(Cl)c(Cl)c1,-1,test
Clc1cc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-1,test
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(-c5cccc(Cl)c5Cl)c(-c5cccc(Cl)c5Cl)cc4C2C3=O)O1,-1,test
O=CN(NS(=O)(=O)c1ccccc1-c1ccccc1S(=O)(=O)NN(C=O)c1nc(Cl)cc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)n1)c1nc(Cl)cc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)n1,-1,test
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(-c5c(Cl)c(Cl)cc(Cl)c5Cl)c(-c5ccc6c(n5)N(c5cc7c(cc5-c5c(Cl)c(Cl)cc(Cl)c5Cl)OCC5Oc8c(ccc9c8CC(C(=C)C)O9)C(=O)C75)c5ncccc5C(=O)N6)cc4C2C3=O)O1,-1,test
CC1=CC2C(CCC3(C)C2CCC3(c2ccc(Cl)c(Cl)c2Cl)c2c([N+](=O)[O-])cc(-c3c([N+](=O)[O-])cc(-c4ccc(Cl)c(Cl)c4Cl)cc3[N+](=O)[O-])cc2[N+](=O)[O-])C2(C)CCC(=O)C=C12,-1,test
CC12C=CC(=O)C=C1CCC1C3CC(c4cc([N+](=O)[O-])c(C5CCCCC5)c([N+](=O)[O-])c4)C(O)(c4c([N+](=O)[O-])cc(C5CCCCC5)cc4[N+](=O)[O-])C3(C)CC(O)C12F,-1,test
Nc1c(-c2c([N+](=O)[O-])cc(-c3c(Cl)cc(Cl)cc3Cl)c(N)c2[N+](=O)[O-])cc([N+](=O)[O-])c(-c2ccc(Cl)cc2Cl)c1[N+](=O)[O-],-1,test
N#CC(=NOP(=S)(Oc1cc(Cl)c(Cl)cc1Cl)Oc1c([N+](=O)[O-])cc(-c2c([N+](=O)[O-])cc(-c3cc(Cl)c(Cl)cc3Cl)c(N)c2[N+](=O)[O-])c(N)c1[N+](=O)[O-])c1ccccc1,-1,test
O=[N+]([O-])c1cc(-c2ccc(-c3cc([N+](=O)[O-])c(-c4cccc(Cl)c4)c([N+](=O)[O-])c3)c(Cl)c2)cc([N+](=O)[O-])c1-c1cccc(Cl)c1,-1,test
Clc1cc(-c2ccc(-c3ccc(-c4ccc(-c5cc(Cl)c(I)cc5Cl)c(Cl)c4)cc3Cl)c(Cl)c2)c(Cl)cc1I,-1,test
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(-c5cc(Cl)nc(N(C=O)NS(=O)(=O)c6ccccc6-c6ccc(Cl)c(Cl)c6)n5)c(-c5cc(Cl)nc(N(C=O)NS(=O)(=O)c6ccccc6-c6ccc(Cl)c(Cl)c6)n5)cc4C2C3=O)O1,-1,test
Cc1cc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc2c1NC(=O)c1cccnc1N2c1cc(C)c2c(c1)N(c1cc(C)c3c(c1)N(c1cc(Cl)cc(Cl)c1)c1ncccc1C(=O)N3)c1ncccc1C(=O)N2,-1,test
CC12CCC(=O)C=C1CC(c1c([N+](=O)[O-])cc(-c3cc([N+](=O)[O-])c(-c4ccc(Cl)cc4)c([N+](=O)[O-])c3)cc1[N+](=O)[O-])C1C2CCC2(C)C1CCC21CCC(=O)O1,-1,test
Cc1cc(=O)c2c(-c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3ccoc3c(-c3c4occc4c(-c4cccc5ccccc45)c4c(=O)cc(C)oc34)c2o1,-1,test
COc1nc(N)c2cc(C3(O)CCC4C5CCC6=CC(=O)CCC6(C)C5C(O)CC43C)c(OC)c(C3(O)CCC4C5CCC6=CC(=O)CCC6(C)C5C(O)CC43C)c2n1,-1,test
O=[N+]([O-])c1cc(-c2cc([N+](=O)[O-])c(-c3c([N+](=O)[O-])cc(-c4ccc(Cl)c(Cl)c4)cc3[N+](=O)[O-])c([N+](=O)[O-])c2)cc([N+](=O)[O-])c1-c1ccc(Cl)c(Cl)c1,-1,test
Cc1cc(C)c2c(n1)N(C1(c3c(Cl)c(Cl)cc(Cl)c3Cl)C(C)CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC31C)c1ncccc1C(=O)N2,-1,test
CCCCCCCC(=O)N1c2ncccc2C(=O)Nc2c(-c3nc(-c4c(Cl)c(Cl)c(Cl)c(Cl)c4Cl)nc(-c4c(Cl)c(Cl)c(Cl)c(Cl)c4Cl)n3)cc(C)nc21,-1,test
Cc1cc(C)c2c(n1)N(c1cc(C3c4cc5c(cc4C(OC4C(C)C=CC6=CC(C)CC(N7c8ncccc8C(=O)Nc8c(C)cc(C)nc87)C64)C4COC(=O)C34)OCO5)cc(N3c4ncccc4C(=O)Nc4c(C)cc(C)nc43)c1O)c1ncccc1C(=O)N2,-1,test
Cc1cc(C2(O)CCC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC32C)cc2c1NC(=O)c1cccnc1N2c1cc(C)c2c(c1)N(c1c(Cl)c(Cl)cc(Cl)c1Cl)c1ncccc1C(=O)N2,-1,test
