frag_smiles,frag_rogue_smiles,attribution
[14*]c1nc2ncnc-2c(N)[nH]1,c1nc2ncnc-2c(N)[nH]1,-0.0767501473426819
[16*]c1ccc([N+](=O)[O-])cc1,c1ccc([N+](=O)[O-])cc1,0.0332325398921966
O=C(O)/C=C/Cl,O=C(O)/C=C/Cl,0.0698311388492584
O=[N+]([O-])c1ccc2c3c(cccc13)C=C2,O=[N+]([O-])c1ccc2c3c(cccc13)C=C2,0.3517689198255538
O=[N+]([O-])c1ccc2cc(O)c3cccc4ccc1c2c43,O=[N+]([O-])c1ccc2cc(O)c3cccc4ccc1c2c43,0.3067864030599594
C[C@H]1CCCN(N=O)C1,C[C@H]1CCCN(N=O)C1,0.3573240488767624
[1*]C([6*])=O,C()=O,-0.0011952996253967
[3*]O[3*],O,-0.0006711542606353
[4*]C[8*],C,0.0006922543048858
[13*]C1CO1,C1CO1,0.004672336578369
[15*]C1CCCCC1[15*],C1CCCCC1,-0.0058734774589539
[1*]C([6*])=O,C()=O,-0.0011952996253967
[3*]O[3*],O,-0.0006711542606353
[4*]C[8*],C,0.0006922543048858
[13*]C1CO1,C1CO1,0.004672336578369
[4*]CC,CC,0.0021715359373871
[5*]N([5*])[5*],N(),-0.0093507478874855
[4*]CC,CC,0.0021715366835238
[16*]c1ccc([16*])cc1,c1ccc()cc1,-0.1329159906343008
[16*]c1ccc([16*])cc1,c1ccc()cc1,-0.176345762848159
[16*]c1ccc([16*])cc1,c1ccc()cc1,-0.176345762848159
[16*]c1ccc([16*])cc1,c1ccc()cc1,-0.1329159950857317
[5*]N([5*])[5*],N(),-0.0093507454194807
[4*]CC,CC,0.0021715339688896
[4*]CC,CC,0.0021715339688896
[1*]C(=O)CCCCCCCCCCCCCCC,C(=O)CCCCCCCCCCCCCCC,-0.1446788917761295
[3*]O[3*],O,0.0076656601391733
[4*]CC=[7*],CC=,0.0003649597987533
[7*]=CC(=[7*])C,=CC(=)C,0.013966082688421
[7*]=CC=[7*],=CC=,0.0222235447727144
[7*]=CC(=[7*])C,=CC(=)C,0.0140136953443289
[7*]=CC1=C(C)CCCC1(C)C,=CC1=C(C)CCCC1(C)C,-0.0333737806417047
[5*]N(C)C,N(C)C,8.286237716681466e-05
[4*]CCCN=c1c2ccccc2[nH]c2cccc([N+](=O)[O-])c12,CCCN=c1c2ccccc2[nH]c2cccc([N+](=O)[O-])c12,0.90295094139874
[16*]c1ccc(O)cc1,c1ccc(O)cc1,-0.6994795814156533
[8*]C(O)CN(CCCC)N=O,C(O)CN(CCCC)N=O,0.2136747241020203
Cc1c2ccccc2cc2c3c(ccc12)C=CC(O)C3O,Cc1c2ccccc2cc2c3c(ccc12)C=CC(O)C3O,0.3015924781560898
[8*]CC,CC,-0.049283218383789
[13*]C1CO1,C1CO1,0.9026031086068544
[13*]C1CSC(C)C(=O)N1,C1CSC(C)C(=O)N1,-0.0028505875296104
[1*]C([6*])=O,C()=O,-0.0007420988058583
[5*]N[5*],N,-0.0024078719386124
[1*]C(=O)C([4*])C[8*],C(=O)C()C,-0.0030600987132402
[14*]c1c[nH]cn1,c1c[nH]cn1,-0.0014541809778164
[5*]N1CCCC1[13*],N1CCCC1,-0.0052796389340073
[6*]C(N)=O,C(N)=O,-0.0012643942013255
Cc1cc2c(O)cccc2c2cc3c(cc12)C=CC(O)C3O,Cc1cc2c(O)cccc2c2cc3c(cc12)C=CC(O)C3O,0.2730572193861006
Cc1nc2cc(Cl)ccc2[nH]1,Cc1nc2cc(Cl)ccc2[nH]1,-0.3980386734008789
CC1CC2OC(=O)C3(C)C2C(OC3(C)O)C2(C)C(=O)C=CC12,CC1CC2OC(=O)C3(C)C2C(OC3(C)O)C2(C)C(=O)C=CC12,-0.5349062844179571
Oc1ccccc1/C=N/c1snc2ccccc12,Oc1ccccc1/C=N/c1snc2ccccc12,-0.4126688249409199
O=[N+]([O-])c1c2c(cc3ccccc13)C=CC(O)C2O,O=[N+]([O-])c1c2c(cc3ccccc13)C=CC(O)C2O,-0.1463037878274918
[16*]c1cc(N)cc([N+](=O)[O-])c1N,c1cc(N)cc([N+](=O)[O-])c1N,0.8085327964276076
[8*]CCO,CCO,-0.04280526638031
[4*]CC,CC,-0.1870183493942023
[11*]S[11*],S,-0.0118490872904659
[4*]CC[4*],CC,-0.0047633886337281
[11*]SP(=O)(OC)OC,SP(=O)(OC)OC,0.0185189261101185
[13*]C1CCC(=O)N1C,C1CCC(=O)N1C,-0.0494945338941761
[16*]c1ccc[n+]([O-])c1,c1ccc[n+]([O-])c1,-0.0324454373927438
[16*]c1ccc(N)c([N+](=O)[O-])c1,c1ccc(N)c([N+](=O)[O-])c1,0.0266966760158535
[16*]c1ccc(N)c([N+](=O)[O-])c1,c1ccc(N)c([N+](=O)[O-])c1,0.0266966760158535
O=[N+]([O-])c1ccc2ncccc2c1,O=[N+]([O-])c1ccc2ncccc2c1,0.3182227700948714
[4*]CC,CC,-0.0528763711205102
[1*]C(=O)S[11*],C(=O)S,0.0154162381732021
[5*]N1CCCCCC1,N1CCCCCC1,-0.1443873728727339
Cc1ccc(S(=O)(=O)O)cc1C,Cc1ccc(S(=O)(=O)O)cc1C,-0.5906806051265449
[1*]C(=O)C(C)Cl,C(=O)C(C)Cl,0.1935413366183638
[5*]N[5*],N,0.0809620810672639
[4*]C[8*],C,0.0005359087139367
[16*]c1ccccc1,c1ccccc1,-0.2449121499434113
Clc1cccc2cc3ccccc3cc12,Clc1cccc2cc3ccccc3cc12,0.3193920999765396
[9*]n1cc(C)c(=O)[nH]c1=O,n1cc(C)c(=O)[nH]c1=O,-0.0438199460506439
[8*]CC(O)C[N-][N+]#N,CC(O)C[N-][N+]#N,0.9117753279861064
CCCCCCC(=O)O,CCCCCCC(=O)O,-0.6335948909112631
[13*][C@H]1SCCN1N=O,[C@H]1SCCN1N=O,0.6052739408565685
[8*][C@H](O)[C@H](O)[C@H](O)[C@H](O)CO,[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO,-0.3583590507507325
NNc1nncc2ccncc12,NNc1nncc2ccncc12,0.2469515711069106
FC(F)C(F)C(F)(F)F,FC(F)C(F)C(F)(F)F,-0.6319583970562719
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.6385343771464748
Cc1cnc(C)c(C)n1,Cc1cnc(C)c(C)n1,-0.5156066924333573
[5*]N(C)C,N(C)C,0.005770754814148
[4*]CCC[4*],CCC,0.000376045703888
[5*]N[5*],N,-0.0025303840637207
[16*]c1ccc([N+](=O)[O-])c2c([16*])c3ccccc3nc12,c1ccc([N+](=O)[O-])c2c()c3ccccc3nc12,0.6794653158634901
[5*]N([5*])[5*],N(),0.0032336175441741
[4*]CCO,CCO,-0.0069217801094055
[4*]CCO,CCO,-0.0069217801094055
[4*]CC,CC,-0.1065960571169853
[3*]OP(=O)(O[3*])O[3*],OP(=O)(O)O,0.4147758664097637
[4*]CC,CC,-0.1065960392355919
[14*]c1cc(C)nc([14*])n1,c1cc(C)nc()n1,0.0814343132078647
[8*]C(C)C,C(C)C,0.1006598897278309
O=S1(=O)OC(c2cc(Br)c(O)c(Br)c2)(c2cc(Br)c(O)c(Br)c2)c2ccccc21,O=S1(=O)OC(c2cc(Br)c(O)c(Br)c2)(c2cc(Br)c(O)c(Br)c2)c2ccccc21,-0.5515070958761499
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,Cc1c2ccccc2c(C)c2c1ccc1ccccc12,0.1649531841278075
O=C1C=CC(=O)C1(Cl)Cl,O=C1C=CC(=O)C1(Cl)Cl,0.2936537832021714
[4*]CC(C)C,CC(C)C,-0.0389193323208019
[4*]CC(C)C,CC(C)C,-0.0389193223556503
[5*]N([5*])[5*],N(),0.0591330169350841
[4*]CC(C)C,CC(C)C,-0.0389193226117639
[7*]=CCCCC,=CCCCC,-0.083304440975189
[7*]=CC=[7*],=CC=,0.0563067883253097
[7*]=CC=[7*],=CC=,0.0554645925760269
[7*]=CC=[7*],=CC=,0.0554645925760269
[3*]O/C=C/C=[7*],O/C=C/C=,0.2861141800880432
[4*]CC(O)CO,CC(O)CO,-0.1265810966491698
[5*]NC,NC,0.2371006071567536
[1*]C([1*])=O,C()=O,0.0148570887744426
[3*]O[3*],O,0.1139783635735512
[16*]c1ccccc1[16*],c1ccccc1,-0.0930121213197707
[3*]O[3*],O,0.1775160241872073
[4*]C(C)C,C(C)C,0.1762466771528125
[1*]C(=O)CCC,C(=O)CCC,-0.0176531902689021
[3*]O[3*],O,0.0051375178009039
[4*]CCC(C)C,CCC(C)C,-0.0188473827729466
[14*]c1c([16*])c(C)nn1C,c1c()c(C)nn1C,0.5761617255862803
[5*]N[5*],N,0.0151590853929519
[1*]C(=O)C[4*],C(=O)C,-0.0324523150920867
[5*]N[5*],N,0.0077197313308715
[4*]CCC[4*],CCC,0.019886988401413
[5*]N1CCCCC1C,N1CCCCC1C,0.0393166214227677
[6*]C([6*])=O,C()=O,0.0955325126647949
[16*]c1ccccc1F,c1ccccc1F,0.0377538263797759
[1*]C(=O)C=C,C(=O)C=C,-0.0662915670778602
[3*]O[3*],O,0.0022813671152107
[4*]CC,CC,-0.1050893185660243
CCC(=O)N(O)c1ccc2ccccc2c1,CCC(=O)N(O)c1ccc2ccccc2c1,0.2793006569147109
[4*]CC,CC,-0.0510999746387825
[3*]O[3*],O,-0.019163320644293
[1*]C(=O)C[4*],C(=O)C,-0.018333121505566
[5*]N[5*],N,0.0083809923409716
[1*]C(=O)CCCC[4*],C(=O)CCCC,-0.0654355852631853
[11*]S[11*],S,-0.0054661490255966
[14*]c1[nH]cnc2ncnc1-2,c1[nH]cnc2ncnc1-2,0.0338104146765545
[4*]C(C)(C)C,C(C)(C)C,-0.0216625154018402
[3*]OO[3*],OO,0.9362888664589264
[1*]C([6*])=O,C()=O,0.0126109778881073
[16*]c1ccccc1,c1ccccc1,-0.0165342509746549
O=[N+]([O-])c1cc2c(ccc3ccccc32)c2c1C=CC(O)C2O,O=[N+]([O-])c1cc2c(ccc3ccccc32)c2c1C=CC(O)C2O,0.279605433344841
[8*]C(C)(C)CC(C)(C)C,C(C)(C)CC(C)(C)C,-0.0257573033038341
[16*]c1ccc([16*])cc1,c1ccc()cc1,-0.0064675372598856
[3*]O[3*],O,0.0004180747315319
[4*]CC[4*],CC,0.0005496514571611
[3*]O[3*],O,0.000723119759851
[4*][CH-]C[4*],[CH-]C,0.0007026621453497
[5*][N+]([5*])(C)C,[N+]()(C)C,-0.0029767972514661
[4*]C[8*],C,-0.0004815956277183
[16*]c1ccccc1,c1ccccc1,-0.002727051023902
[3*]OC,OC,-0.095116838812828
[16*]c1ccc([16*])cc1,c1ccc()cc1,-0.3551064908504486
[8*]CN(C)N=O,CN(C)N=O,0.3949317776598037
[16*]c1ccc([16*])cc1,c1ccc()cc1,-0.0359144090762129
[8*]C(C)CC=O,C(C)CC=O,-0.0001343850743979
[8*]C(C)(C)C,C(C)(C)C,-0.0086232762856525
Nc1nc(O)c2[nH]nnc2n1,Nc1nc(O)c2[nH]nnc2n1,-0.5938168206368574
[1*]C(=O)C=C,C(=O)C=C,0.0033835339592769
[3*]O[3*],O,0.004190185808693
[4*]CCCCCC(C)C,CCCCCC(C)C,-0.1202710199693684
[7*]=Cc1ccc(N)cc1S(=O)(=O)O,=Cc1ccc(N)cc1S(=O)(=O)O,0.0231138713017571
[7*]=Cc1ccc(N)cc1S(=O)(=O)O,=Cc1ccc(N)cc1S(=O)(=O)O,0.0231138694391119
[6*]C(C)=O,C(C)=O,-0.5579344961792231
[16*]c1ccc2ccccc2c1,c1ccc2ccccc2c1,-0.3536161832511425
[3*]OC,OC,-0.0329759129090234
[16*]c1ccc2c([16*])cc(=O)oc2c1,c1ccc2c()cc(=O)oc2c1,-0.1612781077856199
[8*]CBr,CBr,-0.1036189735168591
[6*]C(=O)Cl,C(=O)Cl,0.8399539454840126
[16*]c1ccc(Cl)cc1,c1ccc(Cl)cc1,-0.0623233258724211
[3*]OC,OC,-0.0160904510240471
[16*]c1ccc([16*])c(O)c1,c1ccc()c(O)c1,0.004188359560976
[13*]C1CC(=O)c2c(O)cc([16*])cc2O1,C1CC(=O)c2c(O)cc()cc2O1,0.0004735162869109
[3*]O[3*],O,-0.0059944563659883
[13*]C1OC([13*])C(O)C(O)C1O,C1OC()C(O)C(O)C1O,-0.0733094306515341
[4*]C[8*],C,-0.0070255910484775
[3*]O[3*],O,0.0012066048834639
[13*]C1OC(C)C(O)C(O)C1O,C1OC(C)C(O)C(O)C1O,-0.0718573967240445
O=[N+]([O-])c1ccc2c3c(c(O)ccc13)-c1ccccc1-2,O=[N+]([O-])c1ccc2c3c(c(O)ccc13)-c1ccccc1-2,0.3160810381174086
[6*]C([6*])=O,C()=O,-0.1093022182118148
[16*]c1ccccc1,c1ccccc1,-0.0055127144325524
[13*]C1OC1[13*],C1OC1,0.066372454635166
[16*]c1ccc(Br)cc1,c1ccc(Br)cc1,-0.5589803434908391
[4*]CC,CC,-0.0387304365634918
