smiles,hERG_top20_6_brics_mol,group,QED_score
O=C(O)c1cnc2ccc(=O)n(CO)c2c1,-1,test,0.7452045395548738
CN([C@H]1C[C@@H](c2c(Cl)ccc(S(N)(=O)=O)c2Cl)C1)S(=O)(=O)c1ccc(-c2nc[nH]n2)cc1,-1,test,0.5165401918478258
CC1CN(c2cnc3ccc(C4(C)NC(=O)N(c5ccc6ncc(N7CCCNC7=O)n6n5)C4=O)nn23)CC(C)O1,-1,test,0.3519161784912562
C[C@@H]1CCCN1C(=O)c1cc(-c2cc(N3CCC[C@H]3C)[nH]n2)[nH]n1,-1,test,0.9064749534142129
CC(=O)c1cc(N2CC[C@@H](N3CC[C@@H](C(C)=O)C3)C2)cnc1N,-1,test,0.8449252606772395
c1cnc2nc(N3CCOCC3)sc2c1,-1,test,0.7316421001766817
C[C@@]1(c2ccc3nc(N)n(-c4nc5c(cc4[C@]4(C)CCSC(N)=N4)OCC(=O)N5)c3n2)CCSC(N)=N1,-1,test,0.38458844180003254
Cc1ncccc1N1CCN(c2c(C#N)c3c(c(=O)n(-c4cccnc4C)c(=O)n3C)n2-c2cccnc2C)CC1,-1,test,0.33718141035123966
Cn1c(=O)n(-c2cnc(N)nc2N)c2c3cc(-c4nc5n(c4CN)CCN(c4cnc(N)nc4N)C5)ccc3ncc21,-1,test,0.19096308530551265
CN1CCN(C(=O)c2nnc(-c3nnc(CS(C)(=O)=O)o3)o2)CC1,-1,test,0.6742173965203065
CC1=NC(c2ccc(S(N)(=O)=O)cc2)(n2ncc3c(-c4ccc(S(N)(=O)=O)cc4)ncnc32)N=C1N,-1,test,0.3278858264789951
CN1C(=O)[C@H](C[C@]2(O)Cn3c(=O)ccc4ncc(F)c2c43)NC(=O)[C@H](N2CCOCC2)N(C)C(=O)[C@H](N2CCOCC2)NC(=O)[C@@H]1c1ccnc(N)c1,-1,test,0.21696995609824246
Cc1nn(C(O)[C@@H]2CC[C@](C)(N)C2(C)C)cc1C(=O)O,-1,test,0.7796561525972282
N[C@@H]1CCCN(c2ncc(-c3ncc(-c4cnc(N5CCOCC5)s4)s3)s2)C1,-1,test,0.6754825947277138
CC1=NC(C(=O)O)(C(=O)O)N=C1N,-1,test,0.45996137549774097
Cc1ncccc1[C@H](C(=O)N1N=CC[C@H]1n1c(N)nc2ccc(Cl)cc21)N1CCN(c2cccnc2C)CC1,-1,test,0.4055942412945641
NC1=N[C@@]2(C(=O)N3CCNCC3)CO[C@@H](c3nc4ccc(Br)cc4cc3-c3ccc4[nH]c5c(c4c3)CC[C@@H]5CC(=O)O)C[C@H]2CS1,-1,test,0.2284286733879403
CC(C)C(=O)N1c2cccc3c2N(CCC3)S1(=O)=O,-1,test,0.7862387860053487
CC1=NC(c2ccc(S(N)(=O)=O)cc2)([C@H]2C[C@H]2F)N=C1N,-1,test,0.8557125512395882
CC(C)C(=O)N(C(=O)C(C)C)c1cnn2c1C(=O)NCC2,-1,test,0.8926849542501772
N#Cc1cc(-c2nnc(-c3nc4cc(C#N)cc(N5CCCCCC5)c4o3)o2)c2oc(N3CCCCCC3)nc2c1,-1,test,0.25322987042330436
Nc1nc2c(-c3cc[nH]n3)cccc2c2nc(C3CN4CCN(c5cccc6c5nc(N)n5nc(-c7cc[nH]n7)nc65)CC4CO3)nn12,-1,test,0.2172642770876049
CN(C)C(=O)[C@@H]1C[C@@H]2[C@@H]3CC(=O)[C@@H](C3)[C@@H]2[C@H]1c1nc2ncccc2s1,-1,test,0.8308804226933837
N#C[C@@H]1C[C@H](F)CN1C(=O)c1nnc(N2C[C@@H](F)C[C@H]2C#N)o1,-1,test,0.7830866445842162
O=C(O)c1ccn2ncc(C(=O)O)c2n1,-1,test,0.7243866223023588
C[C@@H]1CCCN1S(=O)(=O)c1ccc(C(=O)O)cc1,-1,test,0.9031936064479161
C[C@@H]1CCCN1C(=O)c1cc(-c2cc(N3CCC[C@H]3C)n[nH]2)n[nH]1,-1,test,0.9064749534142129
Cc1nn(-c2nc3ccc(-c4ccc5nc(N6CCNCC6)oc5c4)cc3o2)c(C)c1N1CCNCC1,-1,test,0.38668299542673845
O=C(O)c1nnc(-c2nnc(CO)o2)o1,-1,test,0.6766016179459428
O=C(O)c1nnc(-c2cc3cc(Br)ccc3nc2-c2cc3cc(Br)ccc3nc2C(=O)O)o1,-1,test,0.2900228983331954
