smiles,ESOL,group
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.77,training
Cc1occc1C(=O)Nc1ccccc1,-3.3,training
CC(C)=CCCC(C)=CC=O,-2.06,training
c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,-7.87,training
c1ccsc1,-1.33,training
c1ccc2scnc2c1,-1.5,training
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-7.32,training
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,-5.03,training
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-6.29,training
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,-4.42,test
O=C1CCCN1,1.07,training
Clc1ccc2ccccc2c1,-4.14,training
C=CCCC,-2.68,test
CCC1(c2ccccc2)C(=O)NCNC1=O,-2.64,training
CCCCCCCCCCCCCC,-7.96,valid
CC(C)Cl,-1.41,training
CCC(C)CO,-0.47,training
N#Cc1ccccc1,-1.0,training
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-3.64,training
CCCCCCCCCC(C)O,-2.94,test
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,-7.43,training
O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,-4.593999999999999,test
CCOP(=S)(OCC)SCSCC,-4.11,training
CCOc1ccc(NC(C)=O)cc1,-2.35,training
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-5.47,training
CCCCCCCO,-1.81,training
Cn1c(=O)c2[nH]cnc2n(C)c1=O,-1.39,training
CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661,training
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-6.9,training
CCCCCCCC(=O)OC,-3.17,training
CCc1ccc(CC)cc1,-3.75,training
CCOP(=S)(OCC)SCSC(C)(C)C,-4.755,training
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805,training
C=C(Cl)Cl,-1.64,training
Cc1cccc2c1Cc1ccccc1-2,-5.22,training
CCCCC=O,-0.85,training
c1ccc(Nc2ccccc2)cc1,-3.504,training
CN(C)C(=O)SCCCCOc1ccccc1,-3.927,training
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15,test
CCCCCCCI,-4.81,valid
Clc1cccc(-c2ccccc2)c1,-4.88,training
C=CCCCO,-0.15,training
O=C1NC(=O)C2(CCC2)C(=O)N1,-1.655,training
CC1CCC(C(C)C)C(O)C1,-2.53,test
CC(C)OC=O,-0.63,test
CCCCCC(C)O,-1.55,training
CC(=O)Nc1ccc(Br)cc1,-3.083,training
Nc1cnn(-c2ccccc2)c(=O)c1Br,-3.127,training
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],-4.76,training
Cc1ccc2ccc(C)nc2c1,-1.94,training
C#CCCCCCC,-3.66,training
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-2.17,training
c1ccc2c(c1)ccc1c3ccccc3ccc21,-8.057,training
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,-2.523,test
