smiles,group,ESOL_structure_optimization
CC(C)C1CCC(C(C)(C)(C))CC1O,test,123456
CC(C)C1CCC(=S)CC1O,test,123456
CC(C)C1CCC(C(F)(F)(F))CC1O,test,123456
CC(C)C1CCC(SC)CC1O,test,123456
CC(C)C1CCC(C#C)CC1O,test,123456
CC(C)C1CCC(Br)CC1O,test,123456
CC(C)C1CCC(OCC)CC1O,test,123456
CC(C)C1CCC(C#N)CC1O,test,123456
CC(C)C1CCC(N(=O)(=O))CC1O,test,123456
CC(C)C1CCC(OC)CC1O,test,123456
CC(C)C1CCC(C(=O)OC)CC1O,test,123456
CC(C)C1CCC(=O)CC1O,test,123456
CC(C)C1CCC(C(=O)N)CC1O,test,123456
CC(C)C1CCC(N)CC1O,test,123456
CC(C)C1CCC(C(=O)C)CC1O,test,123456
CC(C)C1CCC(S(=O)(=O)N)CC1O,test,123456
CC(C)C1CCC(O)CC1O,test,123456
