smiles,Mutagenicity_top20_6_brics_mol,group
CCCCCCCCS(=O)C(C)Cc1ccccc1,-1,test
O=C(O)Cc1cccc2c(=O)c3c(ccc4c5cc(C(=O)O)c6c(=O)c7ccccc7c(=O)c6c5[nH]c43)c(=O)c12,-1,test
O=C(O)c1ccc(C(=O)O)cc1,-1,test
O=Nc1ccc(-c2ccc(-c3ccccc3)cc2)cc1Cl,-1,test
Cc1cc(-c2cc(C)c(N)c(C3(O)CCC(O)C(O)C3O)c2)cc(C(C)(C)C)c1N,-1,test
O=S(=O)(O)Oc1ccc(OS(=O)(=O)O)cc1,-1,test
C[C@]12C[C@H](O)[C@@]3(F)[C@@H](C[C@@H](F)C4=CC(=O)C(Br)=C[C@@]43C)[C@@H]1CCC2(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-1,test
CCCC(=O)Oc1ccc(-c2ccc(C(=O)O)cc2)cc1,-1,test
Cc1ccc(-c2ccccc2-c2ccccc2)cc1,-1,test
[CH2-][N+](C)(Cl)C1C(O)C(c2cc(=O)oc3cc(-c4cc(=O)oc5cc(-c6cc(=O)oc7cc(CCC(=O)O)ccc67)ccc45)ccc23)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,-1,test
Cc1cc(O)c(-n2cc(C=O)c(=O)[nH]c2=O)c(=O)o1,-1,test
CCC1=C(CC2NCCc3cc(CC(=O)O)c(CC(=O)O)cc32)CC2c3cc(C4C(C=C(Cl)Cl)C4(C)C)c(CC(=O)O)cc3CCN2C1,-1,test
Nc1ncnc2c1ncn2-c1cc(-c2cc(-n3cnc4c(N)ncnc43)ncn2)ncn1,-1,test
O=S(=O)(O)O[C@@H]1O[C@H](OS(=O)(=O)O)[C@@H](O)[C@H](O)[C@H]1OS(=O)(=O)O,-1,test
Nc1nc(O)c2nc(O)n(C3C(n4c(O)nc5c(O)nc(N)nc54)C4(Cl)C(Cl)=C(Cl)C3(Cl)C4(Cl)Cl)c2n1,-1,test
FC(F)(F)C1COC2C(c3ccc(C4COC5C4OCC5C(F)(F)F)cc3)COC21,-1,test
C=CC1CN2CCC1CC2c1ccc(-c2ccc(-c3ccc(C(=O)O)cc3)cc2)cc1,-1,test
CCc1ccc2c(CC)c3ccoc3nc2c1CC,-1,test
CC(N)(C[C@@]1(C)O[C@]2(O)[C@H]3CCCN3C(=O)[C@@H](c3ccc([C@@H]4C(=O)N5CCC[C@@H]5[C@@]5(O)O[C@](C)(CC(C)(N)C(=O)O)C(=O)N45)cc3)N2C1=O)C(=O)O,-1,test
CCCCCCCCCCn1cc(-c2cn(-c3ccccc3)c(=O)[nH]c2=O)c(=O)[nH]c1=O,-1,test
CC1=C[C@@H]2O[C@H]3[C@@H](O)[C@H](c4cc(N)ccc4-c4cc(N)ccc4-c4ccccc4)[C@](C)([C@@]34CO4)[C@]2(c2ccccc2)[C@@H](O)C1=O,-1,test
OC[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](O)c1ccc2c(-c3ccccc3)c3ccoc3nc2c1-c1ccccc1,-1,test
CCC(C)c1ccc(C(=O)c2ccc(-c3ccccc3)cc2)cc1,-1,test
CC1=CC2OC3C(O)C(O)C(C)(C34CO4)C2(c2ccc(N=Nc3ccc(C45C(C=C(C)C(=O)C4O)OC4C(O)C(O)C5(C)C45CO5)nc3)cc2)C(O)C1=O,-1,test
Nc1nc(=O)n(-c2ccc3cc(-c4cc5ccc(-c6ccc7cc(-n8cc(O)c(N)nc8=O)c(=O)oc7c6)cc5oc4=O)c(=O)oc3c2)cc1O,-1,test
Cc1cc(Cl)c(-c2ccc(N=Nc3ccc(-c4ccc(N=Nc5ccc(-c6c(Cl)cc(C)cc6Cl)nc5)cc4)nc3)cc2)c(Cl)c1,-1,test
O=C(O)c1ccc(S(=O)(=O)c2ccc(OS(=O)(=O)O)cc2)cc1,-1,test
[CH2-][N+](C)(C)c1ccc(Br)cc1,-1,test
CCC(C)c1ccc(-c2ccc(C(C)CC)cc2)cc1,-1,test
O=C(O)Cc1cc2c3ccc4c(=O)c5c(-c6cc7c8ccc9c(=O)c%10c(-c%11cccc%12c(=O)c%13c(ccc%14c%15cc(C(=O)O)c%16c(=O)c%17ccccc%17c(=O)c%16c%15[nH]c%14%13)c(=O)c%11%12)cccc%10c(=O)c9c8[nH]c7c7c(=O)c8ccccc8c(=O)c67)cccc5c(=O)c4c3[nH]c2c2c(=O)c3ccccc3c(=O)c12,-1,test
OCC1OC(c2ccc(Cl)cc2Cl)C(O)C(O)C1O,-1,test
Cc1cc(CCCC(=O)O)c(O)c(CCCC(=O)O)c1,-1,test
OCc1cc2c(-c3cc4c(-c5cc6c(CO)[nH]cnc-6n5)[nH]cnc-4n3)[nH]cnc-2n1,-1,test
Cc1cc(CC(C)O)ccc1N=Nc1cccnc1,-1,test
CCc1cn(-c2cn(CC)c(=O)nc2N)c(=O)nc1N,-1,test
CCc1ccc(-c2ccc(-c3cccc4c3OC(C)(C)C4)cc2)cc1,-1,test
O=C(O)c1ccc(O)cc1,-1,test
C=C[C@H]1CN2CC[C@H]1C[C@H]2c1cc(C(C)(C)C)cc(C)c1N,-1,test
O=NN(Cc1ccc(-c2ccc(Cl)cc2Cl)cc1)Cc1ccc(-c2c(Cl)cc(Cl)cc2Cl)cc1,-1,test
Oc1ccccc1-c1ccc(-c2ccc(-c3ccccc3O)cc2)cc1,-1,test
O=c1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)oc2cc(O)cc(O)c12,-1,test
O=S(=O)(O)CNC1OC(c2ccc(Cl)cc2)CC1O,-1,test
CCCCCCCCCCCCCCc1ccc(-c2ccc(-c3ccc(CCCCCCCCCCCCCC)cc3)cc2)cc1,-1,test
O=C1c2ccccc2C(=O)C1c1ccccc1,-1,test
O=c1cc(-c2cc([C@H]3O[C@@H](OS(=O)(=O)O)[C@H](O)[C@@H](O)[C@@H]3O)ncn2)oc2cc(O)cc(O)c12,-1,test
BrCc1ccccc1CBr,-1,test
CC1CC2OC3C(O)C(N4C=CN(C)C4/C=N/O)C(C)(C34CO4)C2(N(C)C23C(=O)C(=O)C(C)CC2OC2C(O)C(N4C=CN(C)C4/C=N/O)C3(C)C23CO3)C(=O)C1=O,-1,test
CC(=O)c1cccc(Cl)c1,-1,test
Cc1ccc(-c2ccccc2-c2ccccc2-c2ccc(C)cc2)cc1,-1,test
CC(C)(C)c1cc(-c2ccc(Br)cc2)cc(C(=O)O)c1O,-1,test
Cc1cc(Cl)c(-c2cc(C)c(N)c(-c3cc(-c4c(Cl)cc(C)cc4Cl)cc(C)c3N)c2)c(Cl)c1,-1,test
CCc1ccccc1Cl,-1,test
O=C(O)c1nc(Cl)cc(-c2nc(Cl)cc(-c3ccc(Cl)cc3Cl)n2)n1,-1,test
NS(=O)(=O)c1ccc(-c2cc(-c3cc(-c4cc(-c5ccc(S(N)(=O)=O)cc5)ncn4)ncn3)ncn2)cc1,-1,test
Cc1ccc(-c2cc(C)c(N)c(CC(=O)O)c2)c(C)c1C,-1,test
O[C@@H]1CO[C@@H]2[C@H](c3ccccc3)CO[C@H]12,-1,test
CC1Sc2c(-c3ccc(CO)cc3)c(=O)c3cc(F)c(-c4c5n(c6cc(CO)c(F)cc6c4=O)C(C)S5)cc3n21,-1,test
CC12CCC(c3ccccc3)CC1=CCC1C2CCC2(C)C(c3ccccc3)CCC12,-1,test
