smiles,group,drugbank
Cc1ncc(CO[PH](=O)(=O)O)c(C=O)c1O,test,-1
Nc1nc2c(c(=O)[nH]1)NC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2,test,-1
NC(Cc1c[nH]cn1)C(=O)O,test,-1
C[S+](CCC(N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,test,-1
CC(=O)C(=O)O,test,-1
NC(Cc1ccccc1)C(=O)O,test,-1
O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,test,-1
N=C(N)NCCCC(N)C(=O)O,test,-1
OC[C@H](O)c1oc(O)c(O)c1O,test,-1
NCCCNCCCCNCCCN,test,-1
NCCCC(N)C(=O)O,test,-1
NC(=O)CCC(N)C(=O)O,test,-1
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[PH](=O)(=O)O)[C@@H](O)[C@H]1O,test,-1
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,test,-1
NC(CO)C(=O)O,test,-1
CSCCC(N)C(=O)O,test,-1
NC(Cc1ccc(O)cc1)C(=O)O,test,-1
C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O,test,-1
CC1=C[C@H](O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,test,-1
NC(CSSCC(N)C(=O)O)C(=O)O,test,-1
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,test,-1
CC(=O)NC(C=O)C(O)C(O)C(O)CO,test,-1
NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,test,-1
CCCCCCCCCCCCCCCCCC(=O)OC[C@H](CO[PH](=O)(=O)OCC(N)C(=O)O)OC(=O)CCCCCCCCCCCCCCCCC,test,-1
NCC(=O)O,test,-1
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)(C)O,test,-1
Cc1ncc(CO)c(C=O)c1O,test,-1
CN(CC(=O)O)C(=N)N,test,-1
CC(C)CC(N)C(=O)O,test,-1
NC(Cc1c[nH]c2ccccc12)C(=O)O,test,-1
NC(CS)C(=O)O,test,-1
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,test,-1
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)/C=C/[C@H](C)C(C)C,test,-1
CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O,test,-1
NC(=O)NCCCC(N)C(=O)O,test,-1
C[C@@H](O)C(N)C(=O)O,test,-1
NC(=O)C1=CN([C@@H]2O[C@H](CO[PH](=O)(=O)O[PH](=O)(=O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,test,-1
Nc1nc2ncc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)nc2c(=O)[nH]1,test,-1
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,test,-1
CC(N)C(=O)O,test,-1
CC(C)C(N)C(=O)O,test,-1
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,test,-1
Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,test,-1
Cc1ncc(CO)c(CO)c1O,test,-1
O=C(O)CCCC[C@@H]1CCSS1,test,-1
CC[C@H](C)C(N)C(=O)O,test,-1
COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,test,-1
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C,test,-1
CC1=CC(=O)c2ccccc2C1=O,test,-1
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[PH](=O)(=O)O[PH](=O)(=O)O[PH](=O)(=O)O)[C@@H](O)[C@H]1O,test,-1
O=C(O)C1CCCN1,test,-1
Nc1ncnc2[nH]cnc12,test,-1
NC(=O)CC(N)C(=O)O,test,-1
CCC(C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,test,-1
COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,test,-1
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C,test,-1
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)C[C@@H]2CCC[C@@H]21,test,-1
C[C@@H](Cc1ccc(O)c(O)c1)[C@H](C)Cc1ccc(O)c(O)c1,test,-1
CC1(C)O[C@@H]2C[C@H]3[C@@H]4CC(F)=C5CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,test,-1
NCC(CC(=O)O)c1ccc(Cl)cc1,test,-1
CC(N)Cc1ccccc1,test,-1
CSCCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O,test,-1
CN1CCC[C@H]1c1cccnc1,test,-1
CC1O[C@@]2(CS1)CN1CCC2CC1,test,-1
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)NC1=O,test,-1
COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,test,-1
C#CC(O)(/C=C/Cl)CC,test,-1
C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O,test,-1
CC(C)(N)Cc1ccccc1,test,-1
CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21,test,-1
COc1cccc(C2(O)CCCCC2CN(C)C)c1,test,-1
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,test,-1
